需求名称,工序,角色,负责人,开始日期,结束日期,时长(天)
S01-核心战斗系统,系统策划,系统策划,策划张三,2025-04-04,2025-04-18,10
A01-用户登录系统,系统策划,系统策划,策划李四,2025-04-04,2025-04-15,7
A02-支付系统,系统策划,系统策划,策划王五,2025-04-04,2025-04-15,7
B01-好友系统,系统策划,系统策划,策划赵六,2025-04-04,2025-04-15,7
B02-排行榜系统,系统策划,系统策划,策划小七,2025-04-04,2025-04-15,7
B03-成就系统,系统策划,系统策划,策划李四,2025-04-15,2025-04-24,7
C01-公告系统,系统策划,系统策划,策划王五,2025-04-15,2025-04-18,3
C02-设置页面,系统策划,系统策划,策划赵六,2025-04-15,2025-04-18,3
C03-分享功能,系统策划,系统策划,策划小七,2025-04-15,2025-04-18,3
C04-礼包码兑换,系统策划,系统策划,策划张三,2025-04-18,2025-04-23,3
C05-客服系统,系统策划,系统策划,策划王五,2025-04-18,2025-04-23,3
C06-消息推送,系统策划,系统策划,策划赵六,2025-04-18,2025-04-23,3
C07-新手引导,系统策划,系统策划,策划小七,2025-04-18,2025-04-23,3
C08-反馈系统,系统策划,系统策划,策划张三,2025-04-23,2025-04-28,3
C09-签到系统,系统策划,系统策划,策划王五,2025-04-23,2025-04-28,3
C10-邮件系统,系统策划,系统策划,策划赵六,2025-04-23,2025-04-28,3
C11-帮助中心,系统策划,系统策划,策划小七,2025-04-23,2025-04-28,3
C12-关于页面,系统策划,系统策划,策划李四,2025-04-24,2025-04-29,3
C13-用户协议,系统策划,系统策划,策划张三,2025-04-28,2025-05-01,3
C14-隐私政策,系统策划,系统策划,策划王五,2025-04-28,2025-05-01,3
S01-核心战斗系统,交互策划,交互策划,交互小明,2025-04-18,2025-05-02,10
A01-用户登录系统,交互策划,交互策划,交互小红,2025-04-15,2025-04-24,7
A02-支付系统,交互策划,交互策划,交互小华,2025-04-15,2025-04-24,7
B01-好友系统,交互策划,交互策划,交互小强,2025-04-15,2025-04-23,6
B02-排行榜系统,交互策划,交互策划,交互小强,2025-04-23,2025-05-01,6
B03-成就系统,交互策划,交互策划,交互小红,2025-04-24,2025-05-02,6
C01-公告系统,交互策划,交互策划,交互小华,2025-04-24,2025-04-29,3
C02-设置页面,交互策划,交互策划,交互小华,2025-04-29,2025-05-02,3
C03-分享功能,交互策划,交互策划,交互小强,2025-05-01,2025-05-06,3
C04-礼包码兑换,交互策划,交互策划,交互小明,2025-05-02,2025-05-07,3
C05-客服系统,交互策划,交互策划,交互小红,2025-05-02,2025-05-07,3
C06-消息推送,交互策划,交互策划,交互小华,2025-05-02,2025-05-07,3
C07-新手引导,交互策划,交互策划,交互小强,2025-05-06,2025-05-09,3
C08-反馈系统,交互策划,交互策划,交互小明,2025-05-07,2025-05-12,3
C09-签到系统,交互策划,交互策划,交互小红,2025-05-07,2025-05-12,3
C10-邮件系统,交互策划,交互策划,交互小华,2025-05-07,2025-05-12,3
